Year,Player,Stats,League
2021,Shohei Ohtani,"BA: .257, HR: 46, RBI: 100",American League
2021,Bryce Harper,"BA: .309, HR: 35, RBI: 84",National League
2020,Jose Abreu,"BA: .317, HR: 19, RBI: 60",American League
2020,Freddie Freeman,"BA: .341, HR: 13, RBI: 53",National League
2019,Mike Trout,"BA: .291, HR: 45, RBI: 104",American League
2019,Cody Bellinger,"BA: .305, HR: 47, RBI: 115",National League
2018,Mookie Betts,"BA: .346, HR: 32, RBI: 80",American League
2018,Christian Yelich,"BA: .326, HR: 36, RBI: 110",National League
2017,Jose Altuve,"BA: .346, HR: 24, RBI: 81",American League
2017,Giancarlo Stanton,"BA: .281, HR: 59, RBI: 132",National League
2016,Mike Trout,"BA: .315, HR: 29, RBI: 100",American League
2016,Kris Bryant,"BA: .292, HR: 39, RBI: 102",National League
2015,Josh Donaldson,"BA: .297, HR: 41, RBI: 123",American League
2015,Bryce Harper,"BA: .330, HR: 42, RBI: 99",National League
2014,Mike Trout,"BA: .287, HR: 36, RBI: 111",American League
2014,Clayton Kershaw,"W-L: 21-3, ERA: 1.77, SO: 239",National League
2013,Miguel Cabrera,"BA: .348, HR: 44, RBI: 137",American League
2013,Andrew McCutchen,"BA: .317, HR: 21, RBI: 84",National League
2012,Miguel Cabrera,"BA: .330, HR: 44, RBI: 139",American League
2012,Buster Posey,"BA: .336, HR: 24, RBI: 103",National League
2011,Justin Verlander,"W-L: 24-5, ERA: 2.40, SO: 250",American League
2011,Ryan Braun,"BA: .332, HR: 33, RBI: 111",National League
2010,Josh Hamilton,"BA: .359, HR: 32, RBI: 100",American League
2010,Joey Votto,"BA: .324, HR: 37, RBI: 113",National League
2009,Joe Mauer,"BA: .365, HR: 28, RBI: 96",American League
2009,Albert Pujols,"BA: .327, HR: 47, RBI: 135",National League
2008,Dustin Pedroia,"BA: .326, HR: 17, RBI: 83",American League
2008,Albert Pujols,"BA: .357, HR: 37, RBI: 116",National League
2007,Alex Rodriguez,"BA: .314, HR: 54, RBI: 156",American League
2007,Jimmy Rollins,"BA: .296, HR: 30, RBI: 94",National League
2006,Justin Morneau,"BA: .321, HR: 34, RBI: 130",American League
2006,Ryan Howard,"BA: .313, HR: 58, RBI: 149",National League
2005,Alex Rodriguez,"BA: .321, HR: 48, RBI: 130",American League
2005,Albert Pujols,"BA: .330, HR: 41, RBI: 117",National League
2004,Vladimir Guerrero,"BA: .337, HR: 39, RBI: 126",American League
2004,Barry Bonds,"BA: .362, HR: 45, RBI: 101",National League
2003,Alex Rodriguez,"BA: .298, HR: 47, RBI: 118",American League
2003,Barry Bonds,"BA: .341, HR: 45, RBI: 90",National League
2002,Miguel Tejada,"BA: .308, HR: 34, RBI: 131",American League
2002,Barry Bonds,"BA: .370, HR: 46, RBI: 110",National League
2001,Ichiro Suzuki,"BA: .350, HR: 8, RBI: 69",American League
2001,Barry Bonds,"BA: .328, HR: 73, RBI: 137",National League
2000,Jason Giambi,"BA: .333, HR: 43, RBI: 137",American League
2000,Jeff Kent,"BA: .334, HR: 33, RBI: 125",National League
1999,Iván Rodríguez,"BA: .332, HR: 35, RBI: 113",American League
1999,Chipper Jones,"BA: .319, HR: 45, RBI: 110",National League
1998,Juan Gonzalez,"BA: .318, HR: 45, RBI: 157",American League
1998,Sammy Sosa,"BA: .308, HR: 66, RBI: 158",National League
1997,Ken Griffey Jr.,"BA: .304, HR: 56, RBI: 147",American League
1997,Larry Walker,"BA: .366, HR: 49, RBI: 130",National League
1996,Juan Gonzalez,"BA: .314, HR: 47, RBI: 144",American League
1996,Ken Caminiti,"BA: .326, HR: 40, RBI: 130",National League
1995,Mo Vaughn,"BA: .300, HR: 39, RBI: 126",American League
1995,Barry Larkin,"BA: .319, HR: 15, RBI: 66",National League
1994,Frank Thomas,"BA: .353, HR: 38, RBI: 101",American League
1994,Jeff Bagwell,"BA: .368, HR: 39, RBI: 116",National League
1993,Frank Thomas,"BA: .317, HR: 41, RBI: 128",American League
1993,Barry Bonds,"BA: .336, HR: 46, RBI: 123",National League
1992,Dennis Eckersley,"W-L: 7-1, ERA: 1.91, SV: 51",American League
1992,Barry Bonds,"BA: .311, HR: 34, RBI: 103",National League
1991,Cal Ripken,"BA: .323, HR: 34, RBI: 114",American League
1991,Terry Pendleton,"BA: .319, HR: 22, RBI: 86",National League
1990,Rickey Henderson,"BA: .325, HR: 28, RBI: 61",American League
1990,Barry Bonds,"BA: .301, HR: 33, RBI: 114",National League
1989,Robin Yount,"BA: .318, HR: 21, RBI: 103",American League
1989,Kevin Mitchell,"BA: .291, HR: 47, RBI: 125",National League
1988,Jose Canseco,"BA: .307, HR: 42, RBI: 124",American League
1988,Kirk Gibson,"BA: .290, HR: 25, RBI: 76",National League
1987,George A. Bell,"BA: .308, HR: 47, RBI: 134",American League
1987,Andre Dawson,"BA: .287, HR: 49, RBI: 137",National League
1986,Roger Clemens,"W-L: 24-4, ERA: 2.48, SO: 238",American League
1986,Mike Schmidt,"BA: .290, HR: 37, RBI: 119",National League
1985,Don Mattingly,"BA: .324, HR: 35, RBI: 145",American League
1985,Willie McGee,"BA: .353, HR: 10, RBI: 82",National League
1984,Willie Hernandez,"W-L: 9-3, ERA: 1.92, SV: 32",American League
1984,Ryne Sandberg,"BA: .314, HR: 19, RBI: 84",National League
1983,Cal Ripken,"BA: .318, HR: 27, RBI: 102",American League
1983,Dale Murphy,"BA: .302, HR: 36, RBI: 121",National League
1982,Robin Yount,"BA: .331, HR: 29, RBI: 114",American League
1982,Dale Murphy,"BA: .281, HR: 36, RBI: 109",National League
1981,Rollie Fingers,"W-L: 6-3, ERA: 1.04, SV: 28",American League
1981,Mike Schmidt,"BA: .316, HR: 31, RBI: 91",National League
1980,George Brett,"BA: .390, HR: 24, RBI: 118",American League
1980,Mike Schmidt,"BA: .286, HR: 48, RBI: 121",National League
1979,Don Baylor,"BA: .296, HR: 36, RBI: 139",American League
1979,Keith Hernandez,"BA: .344, HR: 11, RBI: 105",National League
1979,Willie Stargell,"BA: .281, HR: 32, RBI: 82",National League
1978,Jim Rice,"BA: .315, HR: 46, RBI: 139",American League
1978,Dave Parker,"BA: .334, HR: 30, RBI: 117",National League
1977,Rod Carew,"BA: .388, HR: 14, RBI: 100",American League
1977,George Foster,"BA: .320, HR: 52, RBI: 149",National League
1976,Thurman Munson,"BA: .302, HR: 17, RBI: 105",American League
1976,Joe Morgan,"BA: .320, HR: 27, RBI: 111",National League
1975,Fred Lynn,"BA: .331, HR: 21, RBI: 105",American League
1975,Joe Morgan,"BA: .327, HR: 17, RBI: 94",National League
1974,Jeff Burroughs,"BA: .301, HR: 25, RBI: 118",American League
1974,Steve Garvey,"BA: .312, HR: 21, RBI: 111",National League
1973,Reggie Jackson,"BA: .293, HR: 32, RBI: 117",American League
1973,Pete Rose,"BA: .338, HR: 5, RBI: 64",National League
1972,Dick Allen,"BA: .308, HR: 37, RBI: 113",American League
1972,Johnny Bench,"BA: .270, HR: 40, RBI: 125",National League
1971,Vida Blue,"W-L: 24-8, ERA: 1.82, SO: 301",American League
1971,Joe Torre,"BA: .363, HR: 24, RBI: 137",National League
1970,Boog Powell,"BA: .297, HR: 35, RBI: 114",American League
1970,Johnny Bench,"BA: .293, HR: 45, RBI: 148",National League
1969,Harmon Killebrew,"BA: .276, HR: 49, RBI: 140",American League
1969,Willie McCovey,"BA: .320, HR: 45, RBI: 126",National League
1968,Denny McLain,"W-L: 31-6, ERA: 1.96, SO: 280",American League
1968,Bob Gibson,"W-L: 22-9, ERA: 1.12, SO: 268",National League
1967,Carl Yastrzemski,"BA: .326, HR: 44, RBI: 121",American League
1967,Orlando Cepeda,"BA: .325, HR: 25, RBI: 111",National League
1966,Frank Robinson,"BA: .316, HR: 49, RBI: 122",American League
1966,Roberto Clemente,"BA: .317, HR: 29, RBI: 119",National League
1965,Zoilo Versalles,"BA: .273, HR: 19, RBI: 77",American League
1965,Willie Mays,"BA: .317, HR: 52, RBI: 112",National League
1964,Brooks Robinson,"BA: .317, HR: 28, RBI: 118",American League
1964,Ken Boyer,"BA: .295, HR: 24, RBI: 119",National League
1963,Elston Howard,"BA: .287, HR: 28, RBI: 85",American League
1963,Sandy Koufax,"W-L: 25-5, ERA: 1.88, SO: 306",National League
1962,Mickey Mantle,"BA: .321, HR: 30, RBI: 89",American League
1962,Maury Wills,"BA: .299, HR: 6, RBI: 48",National League
1961,Roger Maris,"BA: .269, HR: 61, RBI: 142",American League
1961,Frank Robinson,"BA: .323, HR: 37, RBI: 124",National League
1960,Roger Maris,"BA: .283, HR: 39, RBI: 112",American League
1960,Dick Groat,"BA: .325, HR: 2, RBI: 50",National League
1959,Nellie Fox,"BA: .306, HR: 2, RBI: 70",American League
1959,Ernie Banks,"BA: .304, HR: 45, RBI: 143",National League
1958,Jackie Jensen,"BA: .286, HR: 35, RBI: 122",American League
1958,Ernie Banks,"BA: .313, HR: 47, RBI: 129",National League
1957,Mickey Mantle,"BA: .365, HR: 34, RBI: 94",American League
1957,Hank Aaron,"BA: .322, HR: 44, RBI: 132",National League
1956,Mickey Mantle,"BA: .353, HR: 52, RBI: 130",American League
1956,Don Newcombe,"W-L: 27-7, ERA: 3.06, SO: 139",National League
1955,Yogi Berra,"BA: .272, HR: 27, RBI: 108",American League
1955,Roy Campanella,"BA: .318, HR: 32, RBI: 107",National League
1954,Yogi Berra,"BA: .307, HR: 22, RBI: 125",American League
1954,Willie Mays,"BA: .345, HR: 41, RBI: 110",National League
1953,Al Rosen,"BA: .336, HR: 43, RBI: 145",American League
1953,Roy Campanella,"BA: .312, HR: 41, RBI: 142",National League
1952,Bobby Shantz,"W-L: 24-7, ERA: 2.48, SO: 152",American League
1952,Hank Sauer,"BA: .270, HR: 37, RBI: 121",National League
1951,Yogi Berra,"BA: .294, HR: 27, RBI: 88",American League
1951,Roy Campanella,"BA: .325, HR: 33, RBI: 108",National League
1950,Phil Rizzuto,"BA: .324, HR: 7, RBI: 66",American League
1950,Jim Konstanty,"W-L: 16-7, ERA: 2.66, SO: 56",National League
1949,Ted Williams,"BA: .343, HR: 43, RBI: 159",American League
1949,Jackie Robinson,"BA: .342, HR: 16, RBI: 124",National League
1948,Lou Boudreau,"BA: .355, HR: 18, RBI: 106",American League
1948,Stan Musial,"BA: .376, HR: 39, RBI: 131",National League
1947,Joe DiMaggio,"BA: .315, HR: 20, RBI: 97",American League
1947,Bob Elliott,"BA: .317, HR: 22, RBI: 113",National League
1946,Ted Williams,"BA: .342, HR: 38, RBI: 123",American League
1946,Stan Musial,"BA: .365, HR: 16, RBI: 103",National League
1945,Hal Newhouser,"W-L: 25-9, ERA: 1.81, SO: 212",American League
1945,Phil Cavarretta,"BA: .355, HR: 6, RBI: 97",National League
1944,Hal Newhouser,"W-L: 29-9, ERA: 2.22, SO: 187",American League
1944,Marty Marion,"BA: .267, HR: 6, RBI: 63",National League
1943,Spud Chandler,"W-L: 20-4, ERA: 1.64, SO: 134",American League
1943,Stan Musial,"BA: .357, HR: 13, RBI: 81",National League
1942,Joe Gordon,"BA: .322, HR: 18, RBI: 103",American League
1942,Mort Cooper,"W-L: 22-7, ERA: 1.78, SO: 152",National League
1941,Joe DiMaggio,"BA: .357, HR: 30, RBI: 125",American League
1941,Dolph Camilli,"BA: .285, HR: 34, RBI: 120",National League
1940,Hank Greenberg,"BA: .340, HR: 41, RBI: 150",American League
1940,Frank McCormick,"BA: .309, HR: 19, RBI: 127",National League
1939,Joe DiMaggio,"BA: .381, HR: 30, RBI: 126",American League
1939,Bucky Walters,"W-L: 27-11, ERA: 2.29, SO: 137",National League
1938,Jimmie Foxx,"BA: .349, HR: 50, RBI: 175",American League
1938,Ernie Lombardi,"BA: .342, HR: 19, RBI: 95",National League
1937,Charlie Gehringer,"BA: .371, HR: 14, RBI: 96",American League
1937,Joe Medwick,"BA: .374, HR: 31, RBI: 154",National League
1936,Lou Gehrig,"BA: .354, HR: 49, RBI: 152",American League
1936,Carl Hubbell,"W-L: 26-6, ERA: 2.31, SO: 123",National League
1935,Hank Greenberg,"BA: .328, HR: 36, RBI: 170",American League
1935,Gabby Hartnett,"BA: .344, HR: 13, RBI: 91",National League
1934,Mickey Cochrane,"BA: .320, HR: 2, RBI: 76",American League
1934,Dizzy Dean,"W-L: 30-7, ERA: 2.66, SO: 195",National League
1933,Jimmie Foxx,"BA: .356, HR: 48, RBI: 163",American League
1933,Carl Hubbell,"W-L: 23-12, ERA: 1.66, SO: 156",National League
1932,Jimmie Foxx,"BA: .364, HR: 58, RBI: 169",American League
1932,Chuck Klein,"BA: .348, HR: 38, RBI: 137",National League
1931,Lefty Grove,"W-L: 31-4, ERA: 2.06, SO: 175",American League
1931,Frankie Frisch,"BA: .311, HR: 4, RBI: 82",National League
1929,Rogers Hornsby,"BA: .380, HR: 39, RBI: 149",National League
1928,Mickey Cochrane,"BA: .293, HR: 10, RBI: 57",American League
1928,Jim Bottomley,"BA: .325, HR: 31, RBI: 136",National League
1927,Lou Gehrig,"BA: .373, HR: 47, RBI: 175",American League
1927,Paul Waner,"BA: .380, HR: 9, RBI: 131",National League
1926,George Burns,"BA: .358, HR: 4, RBI: 114",American League
1926,Bob O'Farrell,"BA: .293, HR: 7, RBI: 68",National League
1925,Roger Peckinpaugh,"BA: .294, HR: 4, RBI: 64",American League
1925,Rogers Hornsby,"BA: .403, HR: 39, RBI: 143",National League
1924,Walter Johnson,"W-L: 23-7, ERA: 2.72, SO: 158",American League
1924,Dazzy Vance,"W-L: 28-6, ERA: 2.16, SO: 262",National League
1923,Babe Ruth,"BA: .393, HR: 41, RBI: 131",American League
1922,George Sisler,"BA: .420, HR: 8, RBI: 105",American League
1914,Eddie Collins,"BA: .344, HR: 2, RBI: 0",American League
1914,Johnny Evers,"BA: .279, HR: 1, RBI: 0",National League
1913,Walter Johnson,"W-L: 36-7, ERA: 1.14, SO: 243",American League
1913,Jake Daubert,"BA: .350, HR: 2, RBI: 0",National League
1912,Tris Speaker,"BA: .383, HR: 10, RBI: 0",American League
1912,Larry Doyle,"BA: .330, HR: 10, RBI: 0",National League
1911,Ty Cobb,"BA: .420, HR: 8, RBI: 0",American League
1911,Frank Schulte,"BA: .300, HR: 21, RBI: 0",National League